,obj,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,mean,need_prob,rank,transformed_zipf
22,23,2.0,4.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.174,0.01500606714304975,18.0,0.007047899990867282
23,24,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,0.013806121073210192,20.0,0.006343109991780555
24,25,4.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,6.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.87,0.019805851422407983,4.0,0.03171554995890277
25,26,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.565,0.010806255898611299,26.0,0.004879315378292734
26,27,3.0,4.0,2.0,4.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.783,0.01921261965754348,5.0,0.02537243996712222
27,28,3.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.217,0.015302683025482001,17.0,0.00746248234327124
28,29,3.0,4.0,2.0,5.0,2.0,1.0,4.0,4.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.564,0.017702575165161116,10.0,0.01268621998356111
29,30,2.0,4.0,2.0,5.0,1.0,1.0,2.0,5.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,5.0,1.0,2.738,0.018902521235000674,6.0,0.021143699972601845
30,31,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.305,0.01590939733045706,15.0,0.008457479989040739
31,32,4.0,4.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,3.348,0.023109073749494405,1.0,0.1268621998356111
32,33,3.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.39,0.016502629095321558,13.0,0.009758630756585469
33,34,2.0,5.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.738,0.018902521235000674,6.0,0.021143699972601845
34,35,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.869,0.012902790885802885,23.0,0.005515747818939612
35,36,3.0,3.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.695,0.018605905352568425,7.0,0.018123171405087297
36,37,2.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.61,0.018012673587703924,9.0,0.014095799981734564
37,38,2.0,5.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.783,0.01921261965754348,5.0,0.02537243996712222
38,39,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,2.521,0.017405959282728867,11.0,0.011532927257782826
39,40,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.869,0.012902790885802885,23.0,0.005515747818939612
