,obj,0,1,2,4,6,7,8,11,12,13,14,17,19,20,21,24,mean,need_prob,rank,transformed_zipf
33,34,3.0,4.0,4.0,5.0,3.0,1.0,7.0,6.0,2.0,7.0,7.0,5.0,1.0,1.0,6.0,5.0,4.188,0.023599859105318775,2.0,0.06474878403175667
34,35,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,2.188,0.012328284607256075,26.0,0.004980675694750514
35,36,2.0,5.0,5.0,3.0,2.0,1.0,6.0,6.0,2.0,5.0,7.0,6.0,2.0,1.0,1.0,5.0,3.688,0.020781965480803098,6.0,0.021582928010585558
36,37,3.0,5.0,2.0,2.0,3.0,1.0,7.0,6.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,2.938,0.01655512504402959,18.0,0.007194309336861852
37,38,3.0,5.0,6.0,3.0,4.0,1.0,7.0,6.0,2.0,7.0,6.0,5.0,2.0,1.0,1.0,3.0,3.875,0.021838675589996477,3.0,0.043165856021171116
38,39,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.125,0.011976047904191617,27.0,0.004796206224574568
39,40,4.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.875,0.010567101091933779,29.0,0.00446543338150046
40,41,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.8125,0.010214864388869321,30.0,0.004316585602117112
41,42,2.0,4.0,3.0,2.0,2.0,1.0,4.0,6.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,2.75,0.01549841493483621,21.0,0.006166550860167302
42,43,3.0,5.0,2.0,5.0,3.0,4.0,4.0,6.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,7.0,3.375,0.019020781965480803,11.0,0.011772506187592123
43,44,2.0,5.0,3.0,3.0,2.0,1.0,6.0,6.0,2.0,1.0,6.0,4.0,2.0,1.0,1.0,7.0,3.25,0.018316308559351884,13.0,0.009961351389501027
44,45,2.0,2.0,3.0,3.0,4.0,1.0,3.0,5.0,2.0,7.0,7.0,6.0,2.0,1.0,1.0,1.0,3.125,0.017611835153222965,15.0,0.008633171204234224
45,46,2.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,2.5,0.014089468122578372,23.0,0.005630329046239711
46,47,2.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.438,0.013737231419513914,24.0,0.0053957320026463895
47,48,3.0,2.0,5.0,3.0,3.0,2.0,5.0,6.0,2.0,6.0,1.0,3.0,2.0,1.0,7.0,7.0,3.625,0.020429728777738642,7.0,0.018499652580501905
48,49,5.0,5.0,2.0,3.0,5.0,5.0,6.0,7.0,2.0,7.0,1.0,5.0,2.0,1.0,2.0,3.0,3.812,0.021486438886932017,4.0,0.032374392015878335
49,50,2.0,5.0,2.0,5.0,4.0,3.0,7.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,6.0,3.375,0.019020781965480803,11.0,0.011772506187592123
